Date,Daily_Return,Returns_5d,Returns_20d,Realized_Vol_5d,Realized_Vol_20d,MovingAvg_20d,MovingAvg_50d,RSI_14d,MACD,FED_FUNDS,Mat_Rate_CURVE,CPI,CORE_CPI,UNEMPLOYMENT,JOBLESS_CLAIMS,GDP,CONSUMER_SENTIMENT,VIX,Debt_trend,Stocks_trend,Inflation_trend,Unemployment_trend,S&P 500_trend,sentiment
2005-04-05,0.003572503183491,0.0054490667271965,-0.0366774404755909,0.0085148180422758,0.0064475340690471,-0.15026911045278268,0.0061593669257291594,32.90820528310046,-0.4147573290491522,2.79,0.73,193.7,200.2,5.2,335000.0,12922.656,87.7,13.68,7.319436343203669,7.532071509739965,9.966206320445403,2.44848343436693,4.274515993265993,-0.2666666666666666
2005-04-06,0.0056721173394545,0.0141990127645979,-0.0310866042673757,0.0083415295919354,0.0066528680324922,-0.12772810187395578,0.024836045828806164,45.24254792307106,-0.3640852021510739,2.79,0.74,193.7,200.2,5.2,335000.0,12922.656,87.7,13.15,9.679066838821754,8.111461625873808,9.966206320445403,2.5927065798829427,8.549031986531986,0.1333333333333333
2005-04-07,-0.0003376691317693,0.0018590799072418,-0.0257019878313135,0.0065957430725068,0.0065839162707308,-0.10528304849940184,0.026739336490777532,47.2467686178366,-0.3224146336719968,2.79,0.77,193.7,200.2,5.2,335000.0,12922.656,87.7,12.33,8.971177690136328,7.780381559511612,8.969585688400862,1.900435481406081,4.749462214739992,-0.3333333333333333
2005-04-08,0.0063976603234393,0.0045411807707639,-0.0129710487044006,0.0070304116751753,0.0066848137266924,-0.05313392507908077,0.031542049428182395,50.35878649599752,-0.2446838939641651,2.79,0.73,193.7,200.2,5.2,335000.0,12922.656,87.7,12.62,7.319436343203669,7.449301493149416,7.972965056356323,1.5542999321676512,3.799569771791994,0.0666666666666666
2005-04-11,-0.0074114098958622,0.0078932018187533,-0.0212899608477804,0.0056667504316721,0.0068399087272525,-0.08692896796713967,0.02129099779394039,47.624641189420274,-0.2289411144734572,2.79,0.7,193.7,200.2,5.2,323000.0,12922.656,87.7,11.98,8.971177690136328,5.959441194519533,11.959447584534484,2.938842129121373,6.649247100635989,0.0
2005-04-12,-0.0033874564608551,0.000933242174407,-0.0188901136681685,0.0059043768277579,0.0067734231271087,-0.07677683647072797,0.011744331460192825,47.303233524134455,-0.2357940559222271,2.79,0.67,193.7,200.2,5.2,323000.0,12922.656,87.7,11.3,10.15099293794537,6.952681393606122,11.461137268512214,2.5927065798829427,3.799569771791994,-0.3333333333333333
2005-04-13,0.0056671740459848,0.0009282988809374,-0.0199164178535284,0.0059032289867569,0.0067161580569242,-0.081450109733197,0.014637006097530048,59.87710026800072,-0.2019699188980439,2.79,0.72,193.7,200.2,5.2,323000.0,12922.656,87.7,13.31,11.56677123531622,7.780381559511612,9.467896004423135,2.5350173216765377,4.749462214739992,-0.5333333333333333
2005-04-14,-0.0098320585800888,-0.0085660905673819,-0.0154812969101118,0.007440506898069,0.0063162089876486,-0.06255353542603359,-0.005290889491533335,49.65905128834417,-0.2363712959043198,2.79,0.77,193.7,200.2,5.2,323000.0,12922.656,87.7,14.53,9.207140739698136,7.780381559511612,7.972965056356323,2.304260288850917,0.0,0.0
2005-04-15,-0.0142407356032459,-0.0292044864940672,-0.0264584756638117,0.0075400304998319,0.0069854139451885,-0.10597823010260754,-0.03899013812454655,41.93861894647687,-0.3510791184442041,2.79,0.73,193.7,200.2,5.2,323000.0,12922.656,87.7,17.74,7.083473293641861,7.780381559511612,7.972965056356323,2.419638805263727,0.0,-0.4
2005-04-18,-0.0140954385101642,-0.0358885151083691,-0.0427964091021998,0.008428284713431,0.0074840274484653,-0.17041421300160664,-0.061119565738138704,37.16001731561487,-0.525215557626268,2.79,0.72,193.7,200.2,5.2,307000.0,12922.656,87.7,16.56,10.622919037068986,7.94592159269271,11.461137268512214,3.054220645534183,4.749462214739992,-0.1333333333333333
